"inmateid","admitted_dt","discharged_dt","custody_level","bradh","race","gender","age","inmate_status_code","sealed","srg_flg","top_charge","infraction"
"20027209","2021-10-31T12:01:22.000",,"MED","Y","B","M","33","DE","N","N","160.10","Y"
"167566","2022-03-22T19:50:00.000",,"MIN","N","B","M","42","DE","N","N","140.25","N"
"20217261","2022-02-02T01:06:54.000",,"MED","N","O","M","30","CS","N","N","220.21","N"
"20215129","2021-07-30T22:26:16.000",,"MAX","Y","B","M","34","DE","N","N","125.25","N"
"20215920","2021-10-02T15:50:13.000",,"MED","N","B","M","43","DE","N","N","160.15","N"
"20216094","2022-05-18T16:56:18.000",,"MED","Y","W","M","38","DE","N","N","140.25","N"
"20210807","2020-08-14T14:41:19.000",,"MAX","Y","O","M","24","DE","N","N","125.25","Y"
"94030","2022-06-01T11:45:03.000",,"MIN","N","O","M","35","DE","N","N","121.12","N"
"82376","2022-06-01T16:07:01.000",,"MAX","N","B","M","32","DE","N","Y","265.03","N"
"20191861","2022-06-02T21:17:47.000",,"MED","N","B","M","22","DE","N","N","160.10","N"
"20197567","2021-11-30T16:18:01.000",,"MAX","Y","B","M","26","DE","N","N","140.25","N"
"28553","2021-06-30T17:25:25.000",,"MIN","N","B","M","54","DE","N","N","220.41","N"
"15405","2022-05-04T17:12:54.000",,"MED","N","B","M","41","DE","N","N","265.03","N"
"20139878","2022-05-29T13:19:57.000",,"MED","Y","B","M","39","DE","N","N","215.51","N"
"29538","2021-11-10T14:23:27.000",,"MED","Y","B","M","34","DE","N","N","CO","N"
"20049885","2022-02-23T13:09:42.000",,"MAX","N","B","M","37","DE","N","N","160.05","Y"
"10013231","2022-04-07T17:10:46.000",,"MED","N","B","M","56","DE","N","Y","140.30","N"
"20159671","2022-03-22T11:52:38.000",,"MED","Y","B","M","26","DE","N","Y","155.35","N"
"20134400","2022-04-30T20:04:14.000",,"MAX","N","B","M","24","DE","N","Y","110-125.25","N"
"25045","2021-01-13T15:47:27.000",,"MED","N","B","M","34","DE","N","N","110-125.25","N"
"20211697","2020-10-19T00:26:00.000",,"MAX","Y","B","M","22","DE","N","N","125.25","Y"
"20184551","2022-01-20T20:39:00.000",,"MED","N","O","M","39","DE","N","N","110-135.20","Y"
"20079968","2020-09-23T12:53:08.000",,"MIN","Y","B","M","35","DE","N","N","110-125.25","N"
"20091092","2021-11-06T20:42:00.000",,"MAX","N","B","M","26","DE","N","Y","125.25","Y"
"20215082","2021-07-28T01:22:50.000",,"MED","Y","O","M","49","DE","N","N","130.50","N"
"20207973","2020-09-25T20:20:21.000",,"MED","N","O","M","24","DE","N","N","125.25","N"
"20066054","2021-01-07T12:22:00.000",,"MAX","Y","B","M","30","DEP","N","N","140.20","N"
"20218721","2022-05-18T12:58:17.000",,"MED","Y","O","M","25","DE","N","N","125.25","N"
"20216489","2021-11-21T17:03:39.000",,"MED","N","B","M","19","DE","N","Y","125.25","Y"
"20006477","2022-04-18T13:39:40.000",,"MIN","Y","B","F","60","DE","N","N","160.10","N"
"20160810","2021-09-02T16:20:26.000",,"MAX","N","B","M","26","DE","N","N","265.01","Y"
"97102","2022-04-05T10:55:00.000",,"MIN","N","B","M","58","DE","N","N","155.30","N"
"10006151","2020-11-07T14:43:00.000",,"MED","Y","B","M","35","DE","N","N","125.25","N"
"20107354","2022-05-25T13:38:21.000",,"MED","Y","W","M","23","DE","N","N","120.05","N"
"153489","2022-05-17T17:38:50.000",,"MAX","Y","B","M","43","DE","N","N","VOP","N"
"20217817","2022-03-13T15:37:13.000",,"MIN","Y","O","M","45","DE","N","N","110-125.25","N"
"20215227","2021-08-06T22:20:24.000",,"MED","N","W","M","44","DE","N","N","125.25","N"
"20117911","2022-05-09T20:07:00.000",,"MED","Y","B","M","29","DE","N","N","140.15","N"
"20214548","2022-03-12T01:31:03.000",,"MED","N","A","M","45","DE","N","N","265.03","N"
"20033736","2020-06-12T00:46:36.000",,"MAX","N","B","M","30","DE","N","Y","110-125.25","Y"
"20211566","2020-10-08T19:35:20.000",,"MED","N","B","M","25","DE","N","N","125.25","N"
"48887","2021-12-02T01:26:28.000",,"MIN","N",,,"52","DE","N","N","125.15","N"
"34826","2020-05-21T00:37:05.000",,"MED","Y","O","M","46","DE","N","N","130.50","Y"
"153488","2021-05-05T15:30:00.000",,"MED","N","B","M","31","DE","N","N","110-125.25","Y"
"20128936","2022-04-10T13:08:17.000",,"MAX","N","B","M","24","DE","N","Y","265.03","N"
"20073012","2020-11-22T12:00:00.000",,"MAX","Y","W","M","26","DE","N","Y","160.15","Y"
"20198816","2022-05-03T16:44:12.000",,"MIN","Y","O","M","65","DE","N","N","220.21","N"
"20868","2021-11-08T00:58:49.000",,"MED","Y","B","M","59","CS","N","N",,"N"
"20212884","2022-06-02T01:49:53.000",,"MAX","N","B","M","22","DE","N","Y","155.30","N"
